"year","state","month","number","date"
1998,"AC","JAN",0,1998-01-01
1999,"AC","JAN",0,1999-01-01
2000,"AC","JAN",0,2000-01-01
2001,"AC","JAN",0,2001-01-01
2002,"AC","JAN",0,2002-01-01
2003,"AC","JAN",14,2003-01-01
2004,"AC","JAN",0,2004-01-01
2005,"AC","JAN",20,2005-01-01
2006,"AC","JAN",7,2006-01-01
2007,"AC","JAN",1,2007-01-01
2008,"AC","JAN",0,2008-01-01
2009,"AC","JAN",0,2009-01-01
2010,"AC","JAN",1,2010-01-01
2011,"AC","JAN",2,2011-01-01
2012,"AC","JAN",1,2012-01-01
2013,"AC","JAN",0,2013-01-01
2014,"AC","JAN",0,2014-01-01
2015,"AC","JAN",3,2015-01-01
2016,"AC","JAN",13,2016-01-01
2017,"AC","JAN",0,2017-01-01
2018,"AC","JAN",0,2018-01-01
2019,"AC","JAN",1,2019-01-01
2020,"AC","JAN",16,2020-01-01
1998,"AL","JAN",0,1998-01-01
1999,"AL","JAN",58,1999-01-01
2000,"AL","JAN",11,2000-01-01
2001,"AL","JAN",5,2001-01-01
2002,"AL","JAN",12,2002-01-01
2003,"AL","JAN",147,2003-01-01
2004,"AL","JAN",13,2004-01-01
2005,"AL","JAN",91,2005-01-01
2006,"AL","JAN",36,2006-01-01
2007,"AL","JAN",33,2007-01-01
2008,"AL","JAN",52,2008-01-01
2009,"AL","JAN",112,2009-01-01
2010,"AL","JAN",32,2010-01-01
2011,"AL","JAN",45,2011-01-01
2012,"AL","JAN",43,2012-01-01
2013,"AL","JAN",45,2013-01-01
2014,"AL","JAN",49,2014-01-01
2015,"AL","JAN",64,2015-01-01
2016,"AL","JAN",22,2016-01-01
2017,"AL","JAN",38,2017-01-01
2018,"AL","JAN",17,2018-01-01
2019,"AL","JAN",32,2019-01-01
2020,"AL","JAN",45,2020-01-01
1998,"AP","JAN",0,1998-01-01
1999,"AP","JAN",0,1999-01-01
2000,"AP","JAN",2,2000-01-01
2001,"AP","JAN",0,2001-01-01
2002,"AP","JAN",7,2002-01-01
2003,"AP","JAN",35,2003-01-01
2004,"AP","JAN",58,2004-01-01
2005,"AP","JAN",194,2005-01-01
2006,"AP","JAN",10,2006-01-01
2007,"AP","JAN",12,2007-01-01
2008,"AP","JAN",4,2008-01-01
2009,"AP","JAN",8,2009-01-01
2010,"AP","JAN",4,2010-01-01
2011,"AP","JAN",0,2011-01-01
2012,"AP","JAN",34,2012-01-01
2013,"AP","JAN",2,2013-01-01
2014,"AP","JAN",25,2014-01-01
2015,"AP","JAN",27,2015-01-01
2016,"AP","JAN",16,2016-01-01
2017,"AP","JAN",2,2017-01-01
2018,"AP","JAN",14,2018-01-01
2019,"AP","JAN",4,2019-01-01
2020,"AP","JAN",2,2020-01-01
1998,"AM","JAN",0,1998-01-01
1999,"AM","JAN",3,1999-01-01
2000,"AM","JAN",7,2000-01-01
2001,"AM","JAN",3,2001-01-01
2002,"AM","JAN",17,2002-01-01
2003,"AM","JAN",379,2003-01-01
2004,"AM","JAN",277,2004-01-01
2005,"AM","JAN",225,2005-01-01
2006,"AM","JAN",79,2006-01-01
2007,"AM","JAN",106,2007-01-01
2008,"AM","JAN",45,2008-01-01
2009,"AM","JAN",34,2009-01-01
2010,"AM","JAN",93,2010-01-01
2011,"AM","JAN",59,2011-01-01
2012,"AM","JAN",8,2012-01-01
2013,"AM","JAN",43,2013-01-01
2014,"AM","JAN",71,2014-01-01
2015,"AM","JAN",38,2015-01-01
2016,"AM","JAN",654,2016-01-01
2017,"AM","JAN",62,2017-01-01
2018,"AM","JAN",46,2018-01-01
2019,"AM","JAN",35,2019-01-01
2020,"AM","JAN",197,2020-01-01
1998,"BA","JAN",0,1998-01-01
1999,"BA","JAN",114,1999-01-01
2000,"BA","JAN",31,2000-01-01
2001,"BA","JAN",25,2001-01-01
2002,"BA","JAN",124,2002-01-01
2003,"BA","JAN",560,2003-01-01
2004,"BA","JAN",201,2004-01-01
2005,"BA","JAN",414,2005-01-01
2006,"BA","JAN",315,2006-01-01
2007,"BA","JAN",451,2007-01-01
2008,"BA","JAN",376,2008-01-01
2009,"BA","JAN",227,2009-01-01
2010,"BA","JAN",368,2010-01-01
2011,"BA","JAN",135,2011-01-01
2012,"BA","JAN",226,2012-01-01
2013,"BA","JAN",161,2013-01-01
2014,"BA","JAN",123,2014-01-01
2015,"BA","JAN",240,2015-01-01
2016,"BA","JAN",240,2016-01-01
2017,"BA","JAN",150,2017-01-01
2018,"BA","JAN",102,2018-01-01
2019,"BA","JAN",212,2019-01-01
2020,"BA","JAN",164,2020-01-01
1998,"CE","JAN",0,1998-01-01
1999,"CE","JAN",47,1999-01-01
2000,"CE","JAN",1,2000-01-01
2001,"CE","JAN",11,2001-01-01
2002,"CE","JAN",33,2002-01-01
2003,"CE","JAN",323,2003-01-01
2004,"CE","JAN",213,2004-01-01
2005,"CE","JAN",476,2005-01-01
2006,"CE","JAN",298,2006-01-01
2007,"CE","JAN",428,2007-01-01
2008,"CE","JAN",230,2008-01-01
2009,"CE","JAN",464,2009-01-01
2010,"CE","JAN",355,2010-01-01
2011,"CE","JAN",39,2011-01-01
2012,"CE","JAN",308,2012-01-01
2013,"CE","JAN",135,2013-01-01
2014,"CE","JAN",119,2014-01-01
2015,"CE","JAN",189,2015-01-01
2016,"CE","JAN",103,2016-01-01
2017,"CE","JAN",91,2017-01-01
2018,"CE","JAN",166,2018-01-01
2019,"CE","JAN",194,2019-01-01
2020,"CE","JAN",94,2020-01-01
1998,"DF","JAN",0,1998-01-01
1999,"DF","JAN",0,1999-01-01
2000,"DF","JAN",0,2000-01-01
2001,"DF","JAN",0,2001-01-01
2002,"DF","JAN",0,2002-01-01
2003,"DF","JAN",0,2003-01-01
2004,"DF","JAN",0,2004-01-01
2005,"DF","JAN",0,2005-01-01
2006,"DF","JAN",0,2006-01-01
2007,"DF","JAN",1,2007-01-01
2008,"DF","JAN",0,2008-01-01
2009,"DF","JAN",1,2009-01-01
2010,"DF","JAN",1,2010-01-01
2011,"DF","JAN",0,2011-01-01
2012,"DF","JAN",0,2012-01-01
2013,"DF","JAN",0,2013-01-01
2014,"DF","JAN",0,2014-01-01
2015,"DF","JAN",1,2015-01-01
2016,"DF","JAN",0,2016-01-01
2017,"DF","JAN",1,2017-01-01
2018,"DF","JAN",0,2018-01-01
2019,"DF","JAN",4,2019-01-01
2020,"DF","JAN",2,2020-01-01
1998,"ES","JAN",0,1998-01-01
1999,"ES","JAN",33,1999-01-01
2000,"ES","JAN",5,2000-01-01
2001,"ES","JAN",1,2001-01-01
2002,"ES","JAN",2,2002-01-01
2003,"ES","JAN",12,2003-01-01
2004,"ES","JAN",0,2004-01-01
2005,"ES","JAN",7,2005-01-01
2006,"ES","JAN",13,2006-01-01
2007,"ES","JAN",3,2007-01-01
2008,"ES","JAN",20,2008-01-01
2009,"ES","JAN",3,2009-01-01
2010,"ES","JAN",55,2010-01-01
2011,"ES","JAN",6,2011-01-01
2012,"ES","JAN",0,2012-01-01
2013,"ES","JAN",14,2013-01-01
2014,"ES","JAN",11,2014-01-01
2015,"ES","JAN",77,2015-01-01
2016,"ES","JAN",37,2016-01-01
2017,"ES","JAN",14,2017-01-01
2018,"ES","JAN",6,2018-01-01
2019,"ES","JAN",25,2019-01-01
2020,"ES","JAN",10,2020-01-01
1998,"GO","JAN",0,1998-01-01
1999,"GO","JAN",14,1999-01-01
2000,"GO","JAN",10,2000-01-01
2001,"GO","JAN",28,2001-01-01
2002,"GO","JAN",12,2002-01-01
2003,"GO","JAN",13,2003-01-01
2004,"GO","JAN",15,2004-01-01
2005,"GO","JAN",30,2005-01-01
2006,"GO","JAN",104,2006-01-01
2007,"GO","JAN",48,2007-01-01
2008,"GO","JAN",33,2008-01-01
2009,"GO","JAN",47,2009-01-01
2010,"GO","JAN",60,2010-01-01
2011,"GO","JAN",40,2011-01-01
2012,"GO","JAN",22,2012-01-01
2013,"GO","JAN",43,2013-01-01
2014,"GO","JAN",60,2014-01-01
2015,"GO","JAN",105,2015-01-01
2016,"GO","JAN",27,2016-01-01
2017,"GO","JAN",46,2017-01-01
2018,"GO","JAN",54,2018-01-01
2019,"GO","JAN",129,2019-01-01
2020,"GO","JAN",60,2020-01-01
1998,"MA","JAN",0,1998-01-01
1999,"MA","JAN",54,1999-01-01
2000,"MA","JAN",19,2000-01-01
2001,"MA","JAN",29,2001-01-01
2002,"MA","JAN",49,2002-01-01
2003,"MA","JAN",575,2003-01-01
2004,"MA","JAN",338,2004-01-01
2005,"MA","JAN",674,2005-01-01
2006,"MA","JAN",386,2006-01-01
2007,"MA","JAN",634,2007-01-01
2008,"MA","JAN",203,2008-01-01
2009,"MA","JAN",400,2009-01-01
2010,"MA","JAN",457,2010-01-01
2011,"MA","JAN",195,2011-01-01
2012,"MA","JAN",461,2012-01-01
2013,"MA","JAN",316,2013-01-01
2014,"MA","JAN",291,2014-01-01
2015,"MA","JAN",458,2015-01-01
2016,"MA","JAN",395,2016-01-01
2017,"MA","JAN",178,2017-01-01
2018,"MA","JAN",281,2018-01-01
2019,"MA","JAN",712,2019-01-01
2020,"MA","JAN",86,2020-01-01
1998,"MT","JAN",0,1998-01-01
1999,"MT","JAN",39,1999-01-01
2000,"MT","JAN",44,2000-01-01
2001,"MT","JAN",44,2001-01-01
2002,"MT","JAN",172,2002-01-01
2003,"MT","JAN",883,2003-01-01
2004,"MT","JAN",261,2004-01-01
2005,"MT","JAN",440,2005-01-01
2006,"MT","JAN",1000,2006-01-01
2007,"MT","JAN",470,2007-01-01
2008,"MT","JAN",232,2008-01-01
2009,"MT","JAN",615,2009-01-01
2010,"MT","JAN",327,2010-01-01
2011,"MT","JAN",206,2011-01-01
2012,"MT","JAN",179,2012-01-01
2013,"MT","JAN",276,2013-01-01
2014,"MT","JAN",244,2014-01-01
2015,"MT","JAN",720,2015-01-01
2016,"MT","JAN",300,2016-01-01
2017,"MT","JAN",457,2017-01-01
2018,"MT","JAN",317,2018-01-01
2019,"MT","JAN",576,2019-01-01
2020,"MT","JAN",768,2020-01-01
1998,"MS","JAN",0,1998-01-01
1999,"MS","JAN",239,1999-01-01
2000,"MS","JAN",326,2000-01-01
2001,"MS","JAN",97,2001-01-01
2002,"MS","JAN",305,2002-01-01
2003,"MS","JAN",238,2003-01-01
2004,"MS","JAN",375,2004-01-01
2005,"MS","JAN",71,2005-01-01
2006,"MS","JAN",72,2006-01-01
2007,"MS","JAN",23,2007-01-01
2008,"MS","JAN",59,2008-01-01
2009,"MS","JAN",310,2009-01-01
2010,"MS","JAN",80,2010-01-01
2011,"MS","JAN",148,2011-01-01
2012,"MS","JAN",187,2012-01-01
2013,"MS","JAN",161,2013-01-01
2014,"MS","JAN",156,2014-01-01
2015,"MS","JAN",176,2015-01-01
2016,"MS","JAN",108,2016-01-01
2017,"MS","JAN",322,2017-01-01
2018,"MS","JAN",47,2018-01-01
2019,"MS","JAN",542,2019-01-01
2020,"MS","JAN",226,2020-01-01
1998,"MG","JAN",0,1998-01-01
1999,"MG","JAN",36,1999-01-01
2000,"MG","JAN",24,2000-01-01
2001,"MG","JAN",18,2001-01-01
2002,"MG","JAN",29,2002-01-01
2003,"MG","JAN",47,2003-01-01
2004,"MG","JAN",29,2004-01-01
2005,"MG","JAN",52,2005-01-01
2006,"MG","JAN",168,2006-01-01
2007,"MG","JAN",115,2007-01-01
2008,"MG","JAN",99,2008-01-01
2009,"MG","JAN",82,2009-01-01
2010,"MG","JAN",132,2010-01-01
2011,"MG","JAN",112,2011-01-01
2012,"MG","JAN",90,2012-01-01
2013,"MG","JAN",93,2013-01-01
2014,"MG","JAN",130,2014-01-01
2015,"MG","JAN",127,2015-01-01
2016,"MG","JAN",37,2016-01-01
2017,"MG","JAN",99,2017-01-01
2018,"MG","JAN",62,2018-01-01
2019,"MG","JAN",142,2019-01-01
2020,"MG","JAN",80,2020-01-01
1998,"PA","JAN",0,1998-01-01
1999,"PA","JAN",87,1999-01-01
2000,"PA","JAN",30,2000-01-01
2001,"PA","JAN",34,2001-01-01
2002,"PA","JAN",144,2002-01-01
2003,"PA","JAN",1440,2003-01-01
2004,"PA","JAN",875,2004-01-01
2005,"PA","JAN",2861,2005-01-01
2006,"PA","JAN",855,2006-01-01
2007,"PA","JAN",817,2007-01-01
2008,"PA","JAN",240,2008-01-01
2009,"PA","JAN",466,2009-01-01
2010,"PA","JAN",701,2010-01-01
2011,"PA","JAN",219,2011-01-01
2012,"PA","JAN",534,2012-01-01
2013,"PA","JAN",291,2013-01-01
2014,"PA","JAN",570,2014-01-01
2015,"PA","JAN",866,2015-01-01
2016,"PA","JAN",1479,2016-01-01
2017,"PA","JAN",213,2017-01-01
2018,"PA","JAN",536,2018-01-01
2019,"PA","JAN",355,2019-01-01
2020,"PA","JAN",225,2020-01-01
1998,"PB","JAN",0,1998-01-01
1999,"PB","JAN",26,1999-01-01
2000,"PB","JAN",0,2000-01-01
2001,"PB","JAN",11,2001-01-01
2002,"PB","JAN",5,2002-01-01
2003,"PB","JAN",77,2003-01-01
2004,"PB","JAN",38,2004-01-01
2005,"PB","JAN",169,2005-01-01
2006,"PB","JAN",85,2006-01-01
2007,"PB","JAN",77,2007-01-01
2008,"PB","JAN",88,2008-01-01
2009,"PB","JAN",126,2009-01-01
2010,"PB","JAN",52,2010-01-01
2011,"PB","JAN",12,2011-01-01
2012,"PB","JAN",54,2012-01-01
2013,"PB","JAN",39,2013-01-01
2014,"PB","JAN",64,2014-01-01
2015,"PB","JAN",36,2015-01-01
2016,"PB","JAN",16,2016-01-01
2017,"PB","JAN",23,2017-01-01
2018,"PB","JAN",42,2018-01-01
2019,"PB","JAN",42,2019-01-01
2020,"PB","JAN",63,2020-01-01
1998,"PR","JAN",0,1998-01-01
1999,"PR","JAN",7,1999-01-01
2000,"PR","JAN",49,2000-01-01
2001,"PR","JAN",32,2001-01-01
2002,"PR","JAN",47,2002-01-01
2003,"PR","JAN",177,2003-01-01
2004,"PR","JAN",206,2004-01-01
2005,"PR","JAN",76,2005-01-01
2006,"PR","JAN",109,2006-01-01
2007,"PR","JAN",41,2007-01-01
2008,"PR","JAN",59,2008-01-01
2009,"PR","JAN",63,2009-01-01
2010,"PR","JAN",22,2010-01-01
2011,"PR","JAN",35,2011-01-01
2012,"PR","JAN",46,2012-01-01
2013,"PR","JAN",49,2013-01-01
2014,"PR","JAN",70,2014-01-01
2015,"PR","JAN",87,2015-01-01
2016,"PR","JAN",124,2016-01-01
2017,"PR","JAN",53,2017-01-01
2018,"PR","JAN",16,2018-01-01
2019,"PR","JAN",92,2019-01-01
2020,"PR","JAN",39,2020-01-01
1998,"PE","JAN",0,1998-01-01
1999,"PE","JAN",102,1999-01-01
2000,"PE","JAN",3,2000-01-01
2001,"PE","JAN",7,2001-01-01
2002,"PE","JAN",10,2002-01-01
2003,"PE","JAN",202,2003-01-01
2004,"PE","JAN",41,2004-01-01
2005,"PE","JAN",238,2005-01-01
2006,"PE","JAN",151,2006-01-01
2007,"PE","JAN",145,2007-01-01
2008,"PE","JAN",184,2008-01-01
2009,"PE","JAN",286,2009-01-01
2010,"PE","JAN",62,2010-01-01
2011,"PE","JAN",67,2011-01-01
2012,"PE","JAN",161,2012-01-01
2013,"PE","JAN",56,2013-01-01
2014,"PE","JAN",81,2014-01-01
2015,"PE","JAN",101,2015-01-01
2016,"PE","JAN",22,2016-01-01
2017,"PE","JAN",52,2017-01-01
2018,"PE","JAN",35,2018-01-01
2019,"PE","JAN",67,2019-01-01
2020,"PE","JAN",105,2020-01-01
1998,"PI","JAN",0,1998-01-01
1999,"PI","JAN",21,1999-01-01
2000,"PI","JAN",5,2000-01-01
2001,"PI","JAN",29,2001-01-01
2002,"PI","JAN",32,2002-01-01
2003,"PI","JAN",109,2003-01-01
2004,"PI","JAN",55,2004-01-01
2005,"PI","JAN",111,2005-01-01
2006,"PI","JAN",176,2006-01-01
2007,"PI","JAN",152,2007-01-01
2008,"PI","JAN",71,2008-01-01
2009,"PI","JAN",114,2009-01-01
2010,"PI","JAN",116,2010-01-01
2011,"PI","JAN",47,2011-01-01
2012,"PI","JAN",100,2012-01-01
2013,"PI","JAN",78,2013-01-01
2014,"PI","JAN",91,2014-01-01
2015,"PI","JAN",77,2015-01-01
2016,"PI","JAN",93,2016-01-01
2017,"PI","JAN",82,2017-01-01
2018,"PI","JAN",84,2018-01-01
2019,"PI","JAN",115,2019-01-01
2020,"PI","JAN",47,2020-01-01
1998,"RJ","JAN",0,1998-01-01
1999,"RJ","JAN",0,1999-01-01
2000,"RJ","JAN",0,2000-01-01
2001,"RJ","JAN",0,2001-01-01
2002,"RJ","JAN",0,2002-01-01
2003,"RJ","JAN",2,2003-01-01
2004,"RJ","JAN",3,2004-01-01
2005,"RJ","JAN",13,2005-01-01
2006,"RJ","JAN",18,2006-01-01
2007,"RJ","JAN",0,2007-01-01
2008,"RJ","JAN",2,2008-01-01
2009,"RJ","JAN",4,2009-01-01
2010,"RJ","JAN",6,2010-01-01
2011,"RJ","JAN",9,2011-01-01
2012,"RJ","JAN",6,2012-01-01
2013,"RJ","JAN",5,2013-01-01
2014,"RJ","JAN",26,2014-01-01
2015,"RJ","JAN",86,2015-01-01
2016,"RJ","JAN",1,2016-01-01
2017,"RJ","JAN",12,2017-01-01
2018,"RJ","JAN",4,2018-01-01
2019,"RJ","JAN",36,2019-01-01
2020,"RJ","JAN",7,2020-01-01
1998,"RN","JAN",0,1998-01-01
1999,"RN","JAN",32,1999-01-01
2000,"RN","JAN",1,2000-01-01
2001,"RN","JAN",2,2001-01-01
2002,"RN","JAN",4,2002-01-01
2003,"RN","JAN",123,2003-01-01
2004,"RN","JAN",43,2004-01-01
2005,"RN","JAN",161,2005-01-01
2006,"RN","JAN",106,2006-01-01
2007,"RN","JAN",78,2007-01-01
2008,"RN","JAN",90,2008-01-01
2009,"RN","JAN",116,2009-01-01
2010,"RN","JAN",37,2010-01-01
2011,"RN","JAN",15,2011-01-01
2012,"RN","JAN",66,2012-01-01
2013,"RN","JAN",23,2013-01-01
2014,"RN","JAN",32,2014-01-01
2015,"RN","JAN",38,2015-01-01
2016,"RN","JAN",13,2016-01-01
2017,"RN","JAN",27,2017-01-01
2018,"RN","JAN",23,2018-01-01
2019,"RN","JAN",20,2019-01-01
2020,"RN","JAN",37,2020-01-01
1998,"RS","JAN",0,1998-01-01
1999,"RS","JAN",63,1999-01-01
2000,"RS","JAN",126,2000-01-01
2001,"RS","JAN",12,2001-01-01
2002,"RS","JAN",263,2002-01-01
2003,"RS","JAN",91,2003-01-01
2004,"RS","JAN",108,2004-01-01
2005,"RS","JAN",186,2005-01-01
2006,"RS","JAN",64,2006-01-01
2007,"RS","JAN",61,2007-01-01
2008,"RS","JAN",71,2008-01-01
2009,"RS","JAN",88,2009-01-01
2010,"RS","JAN",42,2010-01-01
2011,"RS","JAN",26,2011-01-01
2012,"RS","JAN",79,2012-01-01
2013,"RS","JAN",47,2013-01-01
2014,"RS","JAN",38,2014-01-01
2015,"RS","JAN",29,2015-01-01
2016,"RS","JAN",60,2016-01-01
2017,"RS","JAN",26,2017-01-01
2018,"RS","JAN",45,2018-01-01
2019,"RS","JAN",33,2019-01-01
2020,"RS","JAN",32,2020-01-01
1998,"RO","JAN",0,1998-01-01
1999,"RO","JAN",1,1999-01-01
2000,"RO","JAN",0,2000-01-01
2001,"RO","JAN",0,2001-01-01
2002,"RO","JAN",6,2002-01-01
2003,"RO","JAN",69,2003-01-01
2004,"RO","JAN",31,2004-01-01
2005,"RO","JAN",122,2005-01-01
2006,"RO","JAN",14,2006-01-01
2007,"RO","JAN",44,2007-01-01
2008,"RO","JAN",6,2008-01-01
2009,"RO","JAN",25,2009-01-01
2010,"RO","JAN",26,2010-01-01
2011,"RO","JAN",2,2011-01-01
2012,"RO","JAN",6,2012-01-01
2013,"RO","JAN",16,2013-01-01
2014,"RO","JAN",11,2014-01-01
2015,"RO","JAN",24,2015-01-01
2016,"RO","JAN",85,2016-01-01
2017,"RO","JAN",43,2017-01-01
2018,"RO","JAN",15,2018-01-01
2019,"RO","JAN",33,2019-01-01
2020,"RO","JAN",56,2020-01-01
1998,"RR","JAN",0,1998-01-01
1999,"RR","JAN",15,1999-01-01
2000,"RR","JAN",18,2000-01-01
2001,"RR","JAN",101,2001-01-01
2002,"RR","JAN",302,2002-01-01
2003,"RR","JAN",761,2003-01-01
2004,"RR","JAN",522,2004-01-01
2005,"RR","JAN",155,2005-01-01
2006,"RR","JAN",98,2006-01-01
2007,"RR","JAN",288,2007-01-01
2008,"RR","JAN",371,2008-01-01
2009,"RR","JAN",65,2009-01-01
2010,"RR","JAN",457,2010-01-01
2011,"RR","JAN",307,2011-01-01
2012,"RR","JAN",239,2012-01-01
2013,"RR","JAN",482,2013-01-01
2014,"RR","JAN",557,2014-01-01
2015,"RR","JAN",411,2015-01-01
2016,"RR","JAN",1958,2016-01-01
2017,"RR","JAN",108,2017-01-01
2018,"RR","JAN",480,2018-01-01
2019,"RR","JAN",383,2019-01-01
2020,"RR","JAN",297,2020-01-01
1998,"SC","JAN",0,1998-01-01
1999,"SC","JAN",11,1999-01-01
2000,"SC","JAN",14,2000-01-01
2001,"SC","JAN",11,2001-01-01
2002,"SC","JAN",22,2002-01-01
2003,"SC","JAN",92,2003-01-01
2004,"SC","JAN",63,2004-01-01
2005,"SC","JAN",61,2005-01-01
2006,"SC","JAN",74,2006-01-01
2007,"SC","JAN",27,2007-01-01
2008,"SC","JAN",37,2008-01-01
2009,"SC","JAN",40,2009-01-01
2010,"SC","JAN",6,2010-01-01
2011,"SC","JAN",20,2011-01-01
2012,"SC","JAN",25,2012-01-01
2013,"SC","JAN",27,2013-01-01
2014,"SC","JAN",51,2014-01-01
2015,"SC","JAN",18,2015-01-01
2016,"SC","JAN",64,2016-01-01
2017,"SC","JAN",46,2017-01-01
2018,"SC","JAN",9,2018-01-01
2019,"SC","JAN",41,2019-01-01
2020,"SC","JAN",35,2020-01-01
1998,"SP","JAN",0,1998-01-01
1999,"SP","JAN",7,1999-01-01
2000,"SP","JAN",36,2000-01-01
2001,"SP","JAN",26,2001-01-01
2002,"SP","JAN",19,2002-01-01
2003,"SP","JAN",67,2003-01-01
2004,"SP","JAN",56,2004-01-01
2005,"SP","JAN",25,2005-01-01
2006,"SP","JAN",108,2006-01-01
2007,"SP","JAN",43,2007-01-01
2008,"SP","JAN",47,2008-01-01
2009,"SP","JAN",33,2009-01-01
2010,"SP","JAN",56,2010-01-01
2011,"SP","JAN",76,2011-01-01
2012,"SP","JAN",49,2012-01-01
2013,"SP","JAN",51,2013-01-01
2014,"SP","JAN",67,2014-01-01
2015,"SP","JAN",86,2015-01-01
2016,"SP","JAN",56,2016-01-01
2017,"SP","JAN",21,2017-01-01
2018,"SP","JAN",41,2018-01-01
2019,"SP","JAN",90,2019-01-01
2020,"SP","JAN",69,2020-01-01
1998,"SE","JAN",0,1998-01-01
1999,"SE","JAN",36,1999-01-01
2000,"SE","JAN",1,2000-01-01
2001,"SE","JAN",2,2001-01-01
2002,"SE","JAN",1,2002-01-01
2003,"SE","JAN",210,2003-01-01
2004,"SE","JAN",21,2004-01-01
2005,"SE","JAN",111,2005-01-01
2006,"SE","JAN",40,2006-01-01
2007,"SE","JAN",60,2007-01-01
2008,"SE","JAN",113,2008-01-01
2009,"SE","JAN",78,2009-01-01
2010,"SE","JAN",34,2010-01-01
2011,"SE","JAN",42,2011-01-01
2012,"SE","JAN",40,2012-01-01
2013,"SE","JAN",32,2013-01-01
2014,"SE","JAN",18,2014-01-01
2015,"SE","JAN",37,2015-01-01
2016,"SE","JAN",7,2016-01-01
2017,"SE","JAN",30,2017-01-01
2018,"SE","JAN",14,2018-01-01
2019,"SE","JAN",31,2019-01-01
2020,"SE","JAN",29,2020-01-01
1998,"TO","JAN",0,1998-01-01
1999,"TO","JAN",36,1999-01-01
2000,"TO","JAN",15,2000-01-01
2001,"TO","JAN",19,2001-01-01
2002,"TO","JAN",36,2002-01-01
2003,"TO","JAN",51,2003-01-01
2004,"TO","JAN",41,2004-01-01
2005,"TO","JAN",75,2005-01-01
2006,"TO","JAN",146,2006-01-01
2007,"TO","JAN",62,2007-01-01
2008,"TO","JAN",45,2008-01-01
2009,"TO","JAN",67,2009-01-01
2010,"TO","JAN",101,2010-01-01
2011,"TO","JAN",25,2011-01-01
2012,"TO","JAN",14,2012-01-01
2013,"TO","JAN",59,2013-01-01
2014,"TO","JAN",90,2014-01-01
2015,"TO","JAN",196,2015-01-01
2016,"TO","JAN",30,2016-01-01
2017,"TO","JAN",57,2017-01-01
2018,"TO","JAN",97,2018-01-01
2019,"TO","JAN",84,2019-01-01
2020,"TO","JAN",75,2020-01-01
1998,"AC","FEB",0,1998-02-01
1999,"AC","FEB",0,1999-02-01
2000,"AC","FEB",0,2000-02-01
2001,"AC","FEB",0,2001-02-01
2002,"AC","FEB",1,2002-02-01
2003,"AC","FEB",0,2003-02-01
2004,"AC","FEB",4,2004-02-01
2005,"AC","FEB",0,2005-02-01
2006,"AC","FEB",1,2006-02-01
2007,"AC","FEB",14,2007-02-01
2008,"AC","FEB",0,2008-02-01
2009,"AC","FEB",2,2009-02-01
2010,"AC","FEB",0,2010-02-01
2011,"AC","FEB",0,2011-02-01
2012,"AC","FEB",0,2012-02-01
2013,"AC","FEB",0,2013-02-01
2014,"AC","FEB",0,2014-02-01
2015,"AC","FEB",2,2015-02-01
2016,"AC","FEB",2,2016-02-01
2017,"AC","FEB",4,2017-02-01
2018,"AC","FEB",2,2018-02-01
2019,"AC","FEB",1,2019-02-01
2020,"AC","FEB",0,2020-02-01
1998,"AL","FEB",0,1998-02-01
1999,"AL","FEB",19,1999-02-01
2000,"AL","FEB",16,2000-02-01
2001,"AL","FEB",4,2001-02-01
2002,"AL","FEB",15,2002-02-01
2003,"AL","FEB",52,2003-02-01
2004,"AL","FEB",15,2004-02-01
2005,"AL","FEB",47,2005-02-01
2006,"AL","FEB",32,2006-02-01
2007,"AL","FEB",33,2007-02-01
2008,"AL","FEB",83,2008-02-01
2009,"AL","FEB",33,2009-02-01
2010,"AL","FEB",39,2010-02-01
2011,"AL","FEB",35,2011-02-01
2012,"AL","FEB",52,2012-02-01
2013,"AL","FEB",22,2013-02-01
2014,"AL","FEB",26,2014-02-01
2015,"AL","FEB",40,2015-02-01
2016,"AL","FEB",14,2016-02-01
2017,"AL","FEB",16,2017-02-01
2018,"AL","FEB",16,2018-02-01
2019,"AL","FEB",9,2019-02-01
2020,"AL","FEB",21,2020-02-01
1998,"AP","FEB",0,1998-02-01
1999,"AP","FEB",1,1999-02-01
2000,"AP","FEB",0,2000-02-01
2001,"AP","FEB",0,2001-02-01
2002,"AP","FEB",2,2002-02-01
2003,"AP","FEB",0,2003-02-01
2004,"AP","FEB",1,2004-02-01
2005,"AP","FEB",1,2005-02-01
2006,"AP","FEB",1,2006-02-01
2007,"AP","FEB",1,2007-02-01
2008,"AP","FEB",1,2008-02-01
2009,"AP","FEB",0,2009-02-01
2010,"AP","FEB",0,2010-02-01
2011,"AP","FEB",3,2011-02-01
2012,"AP","FEB",8,2012-02-01
2013,"AP","FEB",2,2013-02-01
2014,"AP","FEB",2,2014-02-01
2015,"AP","FEB",0,2015-02-01
2016,"AP","FEB",1,2016-02-01
2017,"AP","FEB",0,2017-02-01
2018,"AP","FEB",1,2018-02-01
2019,"AP","FEB",0,2019-02-01
2020,"AP","FEB",1,2020-02-01
1998,"AM","FEB",0,1998-02-01
1999,"AM","FEB",43,1999-02-01
2000,"AM","FEB",62,2000-02-01
2001,"AM","FEB",8,2001-02-01
2002,"AM","FEB",2,2002-02-01
2003,"AM","FEB",129,2003-02-01
2004,"AM","FEB",129,2004-02-01
2005,"AM","FEB",16,2005-02-01
